id,genre,song_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
6iWB2XUfNJO8wlS9GzmAC3,Emo,One Last Breath,0.382,0.686,2,-5.741,1,0.0347,0.00822,0.00152,0.21,0.199,129.94,238173
3WbphvawbMZ8FyqDxYGdSQ,Emo,When I'm Gone,0.53,0.768,7,-5.611,1,0.0284,0.00385,0,0.103,0.374,148.095,260333
3UyL1yzD5B1nIaFJRs4W8r,Emo,Hold On,0.424,0.937,1,-5.354,1,0.0769,0.000884,0,0.113,0.156,137.861,245600
0nNVR2iDM3eVzEgMi78vQm,Emo,Let Me Go,0.48,0.863,1,-4.914,0,0.0385,0.0181,0,0.111,0.491,183.944,243053
40LQiUUUKXVGyNs09lHVjW,Emo,Lips Of An Angel,0.476,0.736,2,-5.38,1,0.0343,0.0217,1.08E-06,0.203,0.251,129.084,261853
78A2FZKzGtkaIIlov5te9S,Emo,"Champagne For My Real Friends, Real Pain For My Sham Friends",0.445,0.964,0,-3.278,1,0.0803,0.000553,0,0.696,0.511,160.153,203813
1e42ag8I6aNSeRd5vNGhLu,Emo,Staplegunned,0.567,0.768,1,-5.162,1,0.0344,0.0532,0,0.322,0.844,139.99,194440
4C5h4wBpxB1KKsglKI5zVW,Emo,The River,0.439,0.945,1,-2.21,1,0.138,0.00677,0,0.166,0.455,161.954,195680
6pa830TqTW4EQdsxVV2goe,Emo,Smile in Your Sleep,0.434,0.952,4,-3.177,0,0.18,0.00301,1.60E-05,0.406,0.296,184.048,193920
5nyx18qjiRL9xsOGAuwgoW,Emo,The Diary Of Jane,0.398,0.952,10,-4.441,0,0.0882,7.53E-05,0.00942,0.151,0.341,167.081,200213
3ZffCQKLFLUvYM59XKLbVm,Emo,Wake Me up When September Ends,0.546,0.814,7,-5.146,1,0.0314,0.023,0,0.0972,0.146,104.98,285653
1HuFg0jWu0UqHfFdfF7Dxw,Emo,Shut Up!,0.502,0.961,1,-4.42,1,0.117,0.000994,0,0.155,0.438,165.123,183253
15qf0H31MChhqKr2zvejla,Emo,All Signs Point to Lauderdale,0.42,0.983,10,-3.437,1,0.113,0.000263,0,0.114,0.513,149.958,197200
6bGac1gBHs7kUKihrudMzq,Emo,Bulletproof Love,0.452,0.964,6,-2.877,1,0.0792,0.00205,5.31E-06,0.205,0.464,144.048,237400
6WkSUgo1VdpzgtiXKlFPcY,Emo,Dammit,0.426,0.972,0,-5.122,1,0.0954,0.0017,0,0.171,0.341,111.221,165373
1LkoYGxmYpO6QSEvY5C0Zl,Emo,Scotty Doesn't Know,0.317,0.887,0,-4.525,1,0.0472,0.000449,9.23E-06,0.363,0.544,174.009,175200
1JfNuvdAIqI3ggkzXuBvPp,Emo,Always,0.456,0.95,11,-3.858,1,0.0853,0.00689,0.0149,0.207,0.562,158.322,251893
7N2DblLu8DuZ0seGYSg73v,Emo,The Future Freaks Me Out,0.661,0.874,5,-5.904,0,0.0456,0.0168,0,0.41,0.682,127.915,216667
1ZozJfi8u9cO2Ob8KwiwNT,Emo,Higher,0.459,0.83,2,-6.254,1,0.0364,5.15E-05,0.00014,0.206,0.431,155.827,316733
0eKyHwckh9vQb8ncZ2DXCs,Emo,With Arms Wide Open,0.41,0.539,0,-8.412,1,0.0302,0.00425,0.00089,0.117,0.141,138.852,274800
42T2QQv3xgBlpQxaSP7lnK,Emo,One Last Breath,0.386,0.677,2,-5.83,1,0.0346,0.00841,0.00366,0.341,0.195,126.602,238240
2R5uY1gbIKzGB1yAOH067s,Emo,Over You,0.425,0.922,3,-2.6,1,0.0412,0.0174,0,0.104,0.564,156.045,204661
3NLrRZoMF0Lx6zTlYqeIo4,Emo,Here Without You,0.557,0.533,10,-6.817,0,0.0252,0.0492,0,0.205,0.233,143.994,238733
7kMfu3KUydmrFVGEAhjtyl,Emo,Good Girls Go Bad (feat. Leighton Meester),0.594,0.874,0,-3.716,1,0.0815,0.0116,0,0.549,0.628,119.964,196413
4Yf5bqU3NK4kNOypcrLYwU,Emo,Faint,0.554,0.978,4,-3.554,1,0.131,0.111,0,0.0731,0.594,135.095,162600
2y8VWxzuw49UaIc4F5QIQk,Emo,Buried a Lie,0.491,0.87,2,-5.31,1,0.136,0.00177,0,0.517,0.532,163.268,179987
2gicirQ6rA2ntTGU7Fen8a,Emo,Space,0.609,0.807,11,-3.198,0,0.0429,0.000213,7.96E-05,0.585,0.587,125.108,177173
1TvNcWY7WwPLQINhimxycA,Emo,Hear You Me,0.465,0.517,4,-6.189,1,0.0284,0.00854,0.0403,0.209,0.137,136.176,284373
0SUClY63fA1awioMFtMYeE,Emo,Pain,0.39,0.965,0,-3.38,0,0.119,0.0181,0,0.583,0.195,168.006,181307
0MSC5BYWcNhcBNNYORXZyj,Emo,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,0.66,0.799,8,-4.644,1,0.0995,0.106,0,0.154,0.475,125.966,200227
55jZxpp3ER7igeE5tKu0nE,Emo,Miserable At Best,0.483,0.361,2,-10.61,1,0.0297,0.604,0,0.111,0.421,135.262,316987
2IBM7pWht51SaU52GZGiEc,Emo,"For a Pessimist, I'm Pretty Optimistic",0.537,0.927,6,-3.322,1,0.0476,0.00017,6.78E-06,0.115,0.379,204.89,228293
4QIAVbGpeb5RdAGW66kY2h,Emo,"Dance, Dance",0.62,0.961,11,-3.198,0,0.154,0.00523,0,0.0854,0.449,114.448,180267
0dRdb2IIRJil2IW0Q9rYZC,Emo,I Miss You,0.423,0.714,11,-8.295,1,0.045,0.00113,6.28E-06,0.0855,0.593,110.017,227250
3l9CW99AHtExIRV4hW2N5m,Emo,Misery Business,0.517,0.906,1,-3.677,1,0.0735,0.00272,9.26E-06,0.113,0.731,172.977,211520
3SqOC9IRDYGSq9cH6K2GQI,Emo,The Anthem,0.495,0.938,1,-3.267,1,0.124,0.0079,0,0.14,0.881,177.754,175093
3F274sv7NCtXfu88YEEhXd,Emo,Remembering Sunday,0.449,0.602,6,-4.8,0,0.0264,0.149,0,0.141,0.32,170.04,256733
28hMB9JpcvpiBYUJhLZvA9,Emo,First Date,0.579,0.928,0,-4.344,1,0.0411,0.000715,0,0.18,0.882,191.188,171533
68pN2UQYhwQgPy7VrCFKuV,Emo,In Too Deep,0.566,0.835,9,-5.885,1,0.0504,0.000192,0,0.0581,0.749,116.041,207093
18GC3F8YPGB8CePXcTUizQ,Emo,Thnks fr th Mmrs,0.459,0.891,10,-5.057,0,0.0623,0.00511,0,0.106,0.588,154.837,203507
1hWrl3T1kIH5b9zRHLfCOn,Emo,What's My Age Again?,0.398,0.954,6,-7.373,1,0.0715,0.0133,0.000218,0.0891,0.433,157.766,148573
2jYmE3Xg0iNDySUm4mqy6Q,Emo,Dirty Little Secret,0.467,0.957,10,-4.846,1,0.0454,0.000241,5.62E-06,0.595,0.445,143.832,194333
0qwCl8IsviFwXsbxrXbjCE,Emo,"Swing, Swing",0.551,0.725,7,-5.924,1,0.0317,5.72E-05,0.0711,0.041,0.273,127.943,233267
0UY4FvG4f9JI6kBR1BlWrZ,Emo,That's What You Get,0.528,0.831,8,-3.607,1,0.0429,9.43E-05,0,0.141,0.632,131.094,220480
